id,Price
1,4826.4272
2,8762.332
3,1654.2938
4,2676.0476
5,8831.058
6,4109.2476
7,18711.139
8,2527.1643
9,3715.5984
10,14452.334
11,20829.418
12,1683.6921
13,4202.8115
14,3726.945
15,2050.6746
16,9995.323
17,19117.295
18,3955.3894
19,5227.4727
20,5546.4854
21,4829.0894
22,7155.468
23,20953.914
24,6591.726
25,8061.691
26,10023.353
27,10944.119
28,6246.433
29,20393.465
30,19082.73
31,4791.867
32,4870.4575
33,3930.5337
34,18827.64
35,1172.5527
36,19946.926
37,18462.719
38,5322.7803
39,3651.9932
40,17608.73
41,4946.625
42,10999.656
43,4002.9524
44,5126.1606
45,1980.9702
46,18990.465
47,3855.726
48,21361.709
49,11918.591
50,9691.774
51,2847.6519
52,9596.876
53,18335.857
54,9780.716
55,5285.932
56,5842.3506
57,3902.1484
58,4557.927
59,3292.573
60,12916.388
61,2141.6816
62,6802.7373
63,9707.575
64,1467.2139
65,2522.5933
66,8873.095
67,2816.9521
68,2229.6753
69,17988.312
70,19160.53
71,2599.6152
72,11473.708
73,1221.1329
74,19086.436
75,8812.602
76,6988.0527
77,3171.4644
78,5277.309
79,7507.659
80,3101.4758
81,1137.5205
82,3164.4187
83,19615.494
84,1697.5107
85,4237.241
86,2814.1245
87,2453.227
88,5019.1533
89,18667.752
90,1906.4227
91,8105.4595
92,2415.6157
93,20606.865
94,18094.182
95,2381.5056
96,3820.9678
97,2973.9614
98,10830.3125
99,13877.886
100,10434.318
101,18790.596
102,2022.4033
103,2403.9768
104,5145.252
105,2043.8557
106,4012.5896
107,9917.441
108,4779.9033
109,2650.7483
110,1124.265
111,7373.9824
112,7989.3857
113,1319.4104
114,5193.3706
115,2602.5054
116,2144.0298
117,6910.152
118,2214.1265
119,10317.536
120,3858.353
121,4352.2993
122,21139.158
123,10036.867
124,2100.7808
125,21406.348
126,3361.2957
127,3267.1396
128,12860.38
129,4992.906
130,3216.0286
131,5250.0117
132,10906.407
133,1949.7439
134,6532.9097
135,3383.8828
136,6457.278
137,5067.2803
138,4030.7437
139,4688.9365
140,1346.7198
141,10404.168
142,2387.1694
143,18678.574
144,2522.5085
145,3451.2478
146,2771.3367
147,2016.2006
148,1978.3286
149,9860.314
150,9717.763
151,1715.2556
152,11124.238
153,3246.3115
154,3822.9998
155,9381.358
156,4423.0635
157,1366.5216
158,7558.2886
159,4706.408
160,3274.014
161,5153.814
162,4156.289
163,13074.817
164,3994.6567
165,2375.3337
166,6569.348
167,4514.8354
168,2659.3875
169,1181.7316
170,4967.824
171,9993.28
172,2644.2612
173,17678.91
174,1985.9124
175,1556.5414
176,1829.2996
177,20765.453
178,3133.826
179,2333.5684
180,3384.4658
181,9259.668
182,18032.959
183,18961.225
184,3820.0217
185,1177.9625
186,1608.2821
187,2222.228
188,19685.053
189,18712.303
190,3232.3608
191,2334.4827
192,17713.932
193,18619.025
194,8943.951
195,5023.7593
196,11937.624
197,17554.342
198,1115.1841
199,5226.513
200,5031.8457
201,21716.98
202,19368.742
203,9165.823
204,5736.8813
205,9766.908
206,2724.0354
207,9274.572
208,8900.177
209,1942.0397
210,9291.497
211,2140.9373
212,2485.3726
213,12357.488
214,4433.272
215,9776.81
216,4824.1113
217,12748.845
218,18471.41
219,4589.5186
220,5216.8594
221,2366.366
222,3790.0215
223,1540.2131
224,5634.628
225,11932.866
226,19352.012
227,4804.2056
228,9494.136
229,11059.239
230,8142.4253
231,6096.2646
232,19285.09
233,5222.754
234,4954.208
235,1570.9573
236,4036.3
237,2179.6777
238,2315.2793
239,21770.297
240,4352.0337
241,4168.4023
242,3031.9465
243,17558.291
244,12324.39
245,8678.035
246,9522.581
247,4081.4712
248,10797.106
249,5970.772
250,3986.6553
